GeoFips,GeoName,LineCode,Description,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4
9000,Connecticut,82,      Other services (except government and government enterprises),4953.1,4990,5042.3,5004.2,5191.1,5271.3,5274.9,5282.4,5375.7,5360.5,5402.2,5458.9,5241.6,4129.2,4962.7,5034.4
9000,Connecticut,83,  Government and government enterprises,27574.5,27168.2,27454.5,27651.2,27448.9,27350,27966.7,27194.9,27124.5,27181.5,27311.6,27328.2,27639.1,26451.8,27327.7,28328.7
9000,Connecticut,84,    Federal civilian,2878,2907.1,2946.8,2976.1,3017.1,3045.5,3062.4,3082.6,3079.4,3089.7,3124.5,3155.1,3222.2,3256.8,3565.3,3412.3
9000,Connecticut,85,    Military,3096.8,3081.9,3133.7,3124.5,2991.8,2924.7,2937.3,2896,2816,2806,2767.8,2758.1,2784.7,2776.8,2669.2,2732.1
9000,Connecticut,86,    State and local,21599.7,21179.3,21373.9,21550.6,21440,21379.8,21967.1,21216.3,21229.1,21285.8,21419.4,21415,21632.2,20418.2,21093.2,22184.3
10000,Delaware,1,All industry total,68920.6,67272.1,68239.5,68778,70079.8,71404.5,73282.9,73906.1,75305.1,76538.4,77601.1,78250.2,77057.9,72058.6,77085.3,77072.6
10000,Delaware,2,  Private industries,61828.6,60463.8,61050,61659.7,62759.7,64030.4,65702.8,66341,67727.7,69021.9,69928.8,70762.1,69198.1,64460.8,69214.9,69242.3
10000,Delaware,3,"      Agriculture, forestry, fishing and hunting",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),603.3,111.5,355.4,469.5
10000,Delaware,6,"      Mining, quarrying, and oil and gas extraction",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),7,4.9,6.8,6.8
10000,Delaware,10,      Utilities,1045.3,1063.9,1040,1051.2,1076.3,1038.5,975.8,1013.7,1023.8,1007,1086.8,1104.4,1073.8,1131.8,1186,1151.2
10000,Delaware,11,      Construction,2503.8,2444.5,2464.3,2529.3,2518.1,2562.9,2626.2,2669.9,2822.3,2832,2842.5,2824.8,2972.7,2670.2,2826.8,2925.3
10000,Delaware,12,      Manufacturing,4339.3,4541.2,4693,5029.3,4825.9,4934.2,4977.8,5168,5477.9,5450,5626.2,5626.8,5540.6,4891.1,5241.2,5198.9
10000,Delaware,13,          Durable goods manufacturing,1359.5,1396,1402.7,1576,1440.1,1521.9,1488,1531.5,1599,1504.5,1495.7,1458.1,1620.1,1348.9,1527.9,1477.6
10000,Delaware,25,          Nondurable goods manufacturing,2979.8,3145.2,3290.3,3453.3,3385.9,3412.3,3489.9,3636.5,3878.9,3945.5,4130.5,4168.7,3920.6,3542.2,3713.4,3721.3
10000,Delaware,34,      Wholesale trade,1757.1,1863.4,1905.9,1957.8,1897,1934.3,1996.6,1994.8,2060,2072.8,2084.5,2093,2156.9,1967.3,2209.1,2145
10000,Delaware,35,      Retail trade,2736.9,2721.2,2745.4,2749.3,2795,2822.6,2815.7,2819.7,2867.4,2901.2,2936.2,2885.2,2916.4,2617.8,3093.9,3037.5
10000,Delaware,36,      Transportation and warehousing,1134.4,1147.8,1138.8,1151.6,1163.4,1192,1184.2,1225,1283.1,1353.8,1344.2,1366.9,1371.7,1154.9,1381.6,1321.6
