,state,"Share with Subprime Credit Score, All","Share with Subprime Credit Score, Communities of Color","Share with Subprime Credit Score, Majority White Communities","Share with Any Debt in Collections, All","Share with Any Debt in Collections, Communities of Color","Share with Any Debt in Collections, Majority White Communities","Median Debt in Collections, All","Median Debt in Collections, Communities of Color","Median Debt in Collections, Majority White Communities","Average Credit Card Utilization, All","Average Credit Card Utilization, Communities of Color","Average Credit Card Utilization, Majority White Communities","Student Loan Delinquency Rate (60+), All","Student Loan Delinquency Rate (60+), Communities of Color","Student Loan Delinquency Rate (60+), Majority White Communities","Credit Card Delinquency Rate (30+), All","Credit Card Delinquency Rate (30+), Communities of Color","Credit Card Delinquency Rate (30+), Majority White Communities","Auto/Retail Loan Delinquency Rate (60+), All","Auto/Retail Loan Delinquency Rate (60+), Communities of Color","Auto/Retail Loan Delinquency Rate (60+), Majority White Communities","Mortgage Delinquency Rate (30+), All","Mortgage Delinquency Rate (30+), Communities of Color","Mortgage Delinquency Rate (30+), Majority White Communities","Share with AFS Credit, All","Share with AFS Credit, Communities of Color","Share with AFS Credit, Majority White Communities","AFS Credit Delinquency Rate (30+), All","AFS Credit Delinquency Rate (30+), Communities of Color","AFS Credit Delinquency Rate (30+), Majority White Communities","Median Credit Score, All","Median Credit Score, Communities of Color","Median Credit Score, Majority White Communities","Median Medical Debt in Collections, All","Median Medical Debt in Collections, Communities of Color","Median Medical Debt in Collections, Majority White Communities","Share with Medical Debt in Collections, All","Share with Medical Debt in Collections, Communities of Color","Share with Medical Debt in Collections, Majority White Communities"
178,MS,33.05,45.9,27.02,39.15,52.1,32.82,1810,1828,1799,31.82,36.39,30.53,15.9,20.96,12.9,7.19,10.72,6.12,6.49,9.18,5.06,3.64,5.51,3.03,7.56,9.39,6.64,13.9,15.52,12.39,660,609.0,675,881,961,839,19.47,22.89,17.4
179,MT,17.71,50.11,16.49,21.95,53.09,20.78,1789,2107,1807,24.53,40.38,24.2,11.18,30.36,10.56,3.12,6.2,3.12,2.53,15.38,2.13,1.24,0.0,1.19,2.53,4.9,2.38,4.49,0.0,4.01,724,592.0,728,780,1074,764,13.28,27.08,12.71
180,NC,25.71,36.1,21.66,34.36,46.29,29.69,1612,1662,1556,27.38,32.57,25.59,11.83,15.11,9.81,5.1,7.65,4.45,3.82,6.03,3.04,2.03,2.9,1.8,5.36,7.28,4.53,5.29,5.65,5.07,690,649.0,713,703,666,725,20.75,25.47,18.65
181,ND,15.19,36.74,14.46,17.43,41.85,16.62,1976,1689,1999,24.93,35.82,24.69,8.26,0.0,8.25,3.19,10.1,3.07,1.97,7.14,1.81,1.3,0.0,1.32,4.53,5.75,4.44,11.66,0.0,11.45,732,635.0,734,673,0,655,7.44,12.78,7.24
182,NE,16.41,33.94,14.33,19.5,39.82,17.14,2095,1989,2242,23.74,29.8,23.16,7.27,16.92,6.76,3.4,7.22,3.21,1.99,4.92,1.7,1.12,2.99,1.06,3.43,5.74,3.19,7.65,6.1,8.08,728,649.0,737,685,526,698,8.01,14.7,7.04
183,NH,14.68,0.0,14.64,19.54,0.0,19.49,1692,0,1690,23.49,0.0,23.5,8.5,0.0,8.42,3.56,0.0,3.54,2.18,0.0,2.15,1.63,0.0,1.64,2.29,0.0,2.29,4.01,0.0,4.05,734,0.0,735,546,0,545,7.78,0.0,7.74
184,NJ,19.04,30.83,12.94,24.93,37.46,18.4,1363,1270,1458,23.76,28.86,21.66,9.52,14.14,7.06,4.13,6.42,3.19,2.55,4.88,1.63,2.09,2.92,1.82,2.33,3.24,1.78,8.9,9.0,8.23,721,669.0,745,531,556,500,13.42,19.88,10.13
185,NM,26.62,31.74,15.98,34.82,40.6,22.85,1724,1662,1853,27.51,29.63,22.7,14.85,16.98,11.16,4.66,5.54,3.4,5.57,7.09,2.7,2.38,3.33,0.88,8.32,10.31,4.12,10.09,10.21,11.18,675,662.0,735,752,726,827,18.02,20.33,12.32
186,NV,27.7,38.8,18.96,35.44,47.24,25.86,2204,2050,2252,28.39,32.54,25.16,15.84,20.85,12.26,5.65,8.25,3.78,4.1,6.5,2.38,1.34,2.4,1.06,9.25,12.33,6.11,18.49,20.54,16.16,677,642.0,720,954,918,1039,19.58,24.68,15.78
187,NY,18.15,25.7,14.08,22.23,29.66,18.34,1783,1768,1843,24.16,29.44,21.99,10.0,13.88,7.9,4.5,7.05,3.31,2.73,4.83,1.99,2.18,3.29,1.94,1.63,2.28,1.36,3.64,3.91,2.95,723,678.0,743,478,446,490,6.44,5.75,6.97
188,OH,24.42,49.24,20.9,31.81,57.34,28.2,1509,1502,1512,25.18,36.5,24.12,12.45,21.86,10.8,4.22,8.41,3.77,3.37,7.96,2.84,1.74,3.42,1.63,7.59,12.76,6.89,8.19,10.48,7.5,700,597.0,716,625,660,618,16.95,23.05,16.04
189,OK,30.35,49.46,27.04,37.22,56.71,33.97,2183,2090,2153,28.96,34.27,28.21,16.1,31.47,13.88,5.08,7.85,4.8,4.62,7.59,4.18,2.36,2.56,2.24,5.52,6.73,5.1,14.2,15.04,13.54,673,591.0,680,1146,1218,1116,22.43,34.18,20.65
190,OR,16.02,0.0,15.34,19.16,0.0,18.47,1555,0,1564,23.78,0.0,23.56,11.61,0.0,11.11,3.14,0.0,3.09,1.68,0.0,1.57,0.96,0.0,0.9,3.4,0.0,3.32,8.35,0.0,8.29,727,0.0,729,574,0,571,6.82,0.0,6.54
191,PA,20.11,44.29,16.72,26.57,53.5,22.8,1825,1791,1831,23.92,34.52,22.86,11.41,22.92,9.48,4.0,9.39,3.52,2.53,6.24,2.13,2.08,4.83,1.88,3.78,6.64,3.36,4.15,4.82,3.78,724,616.0,738,557,518,561,11.64,15.79,11.06
192,RI,19.6,32.91,16.46,23.9,37.68,20.59,1820,1646,1892,25.01,31.62,23.76,10.47,16.04,9.31,4.05,7.4,3.47,2.17,4.21,1.83,2.08,2.42,2.0,2.43,3.49,2.17,8.27,12.24,5.73,720,661.0,732,554,572,536,5.64,6.7,5.32
193,SC,30.24,43.86,25.33,40.56,56.01,34.91,2158,2059,2200,28.66,34.47,26.94,14.27,18.91,12.17,5.21,8.13,4.47,6.39,10.67,4.83,2.32,4.94,1.89,7.06,9.4,6.08,6.16,7.79,5.29,675,620.0,692,940,895,982,25.16,30.96,22.53
194,SD,14.7,44.37,13.44,16.63,49.45,15.15,2200,2205,2220,24.42,34.31,24.22,7.74,19.64,7.52,3.44,5.77,3.35,2.33,13.57,1.98,1.58,0.0,1.56,3.6,4.86,3.57,10.83,0.0,10.27,731,601.0,735,694,0,691,4.47,9.49,4.19
195,TN,27.78,50.88,24.59,34.89,58.61,31.68,1954,2130,1922,27.27,37.48,26.08,13.66,20.65,12.35,4.67,9.33,4.18,4.84,11.23,4.15,2.02,4.29,1.86,5.75,10.66,4.97,13.29,18.93,11.73,683,586.0,699,949,1080,940,20.64,29.89,19.81
196,TX,29.98,37.72,22.09,40.78,49.2,32.13,2200,2193,2190,29.19,32.35,26.42,12.73,14.91,10.45,5.33,6.8,4.14,5.83,7.98,3.75,2.15,2.98,1.58,6.06,7.49,4.49,7.35,7.19,7.3,672,645.0,706,1042,1101,1004,22.99,25.39,20.46
197,UT,17.61,36.43,16.27,21.62,41.56,20.25,1977,1725,2011,25.32,33.38,24.83,9.65,20.0,9.09,3.33,8.27,3.1,2.43,9.57,2.24,1.05,2.27,1.05,4.27,6.12,4.02,10.17,19.35,9.92,720,654.0,724,1008,903,1024,13.97,24.88,13.13
198,VA,22.04,33.47,18.94,27.51,40.43,24.11,1790,1929,1680,25.91,31.55,24.39,9.98,14.26,8.03,4.0,6.15,3.48,2.92,4.12,2.6,1.65,2.1,1.63,4.45,5.93,4.11,7.55,8.65,6.74,716,664.0,730,755,877,706,16.64,24.19,14.74
199,VT,14.26,0.0,14.21,18.57,0.0,18.5,1748,0,1750,22.67,0.0,22.68,7.48,0.0,7.55,3.33,0.0,3.34,2.04,0.0,1.99,1.75,0.0,1.79,0.65,0.0,0.66,13.43,0.0,13.43,736,0.0,736,601,0,597,5.56,0.0,5.5
200,WA,14.62,19.84,13.34,17.71,23.73,16.23,1853,1725,1822,23.76,26.14,23.55,9.25,12.02,8.63,3.15,5.0,2.89,1.96,2.61,1.84,0.93,1.21,0.86,5.8,7.75,5.19,8.39,9.6,7.87,734,702.0,739,588,588,567,5.27,6.39,4.86
201,WI,16.72,47.75,13.97,20.68,53.04,17.81,1782,1595,1823,22.24,34.11,21.63,9.44,20.5,8.14,2.86,7.22,2.63,2.58,8.17,2.2,1.18,2.99,1.11,4.43,11.8,3.79,8.06,7.56,8.14,738,601.0,746,886,888,884,10.96,23.62,9.79
202,WV,29.35,0.0,29.22,39.68,0.0,39.57,1543,0,1537,27.67,0.0,27.59,14.69,0.0,14.64,5.41,0.0,5.38,3.81,0.0,3.78,2.55,0.0,2.52,4.55,0.0,4.54,3.25,0.0,3.25,675,0.0,675,590,0,588,25.88,0.0,25.82
203,WY,21.06,67.31,20.68,26.16,82.69,25.78,2566,0,2569,26.09,0.0,26.09,8.93,0.0,9.19,3.81,0.0,3.83,2.35,0.0,2.3,1.51,0.0,1.46,4.23,5.77,4.16,13.53,0.0,13.52,714,524.0,716,1499,0,1479,18.68,63.46,18.31
204,AK,23.18,32.89,18.2,26.92,32.24,21.8,2181,1273,2369,31.53,38.51,30.0,13.28,17.33,11.51,3.65,6.21,2.83,2.17,0.55,1.66,1.78,5.21,1.46,4.39,8.55,2.82,33.11,23.08,33.11,702,648.0,723,1286,573,1294,14.81,9.34,12.7
205,AL,30.78,48.26,26.37,37.44,56.08,32.63,1953,1974,1941,30.0,37.68,28.58,12.94,20.13,10.83,5.06,8.85,4.45,6.0,10.3,5.05,2.4,4.04,2.16,8.67,13.83,7.24,17.25,22.73,15.27,671,601.0,684,997,1113,935,19.61,27.62,17.62
206,AR,30.5,48.66,27.83,37.7,57.39,34.89,1663,1767,1661,29.37,36.9,28.56,13.65,20.61,12.3,5.63,10.65,5.22,4.55,8.44,4.08,2.0,1.76,1.87,3.38,4.49,3.19,5.62,6.96,4.87,672,599.0,677,663,691,657,20.2,23.21,19.6
207,AZ,23.12,36.16,16.43,30.66,45.14,23.23,2052,1975,2048,26.42,32.57,23.67,12.98,17.83,10.54,4.05,6.41,3.19,3.53,6.16,2.21,1.14,2.26,0.75,5.29,7.98,3.95,8.63,8.44,8.82,697,646.0,729,928,979,885,16.09,21.8,12.75
208,CA,18.28,22.15,12.28,23.63,28.01,16.94,1896,1919,1701,23.49,25.23,20.97,10.4,12.16,7.88,3.69,4.55,2.64,2.79,3.6,1.51,0.95,1.11,0.81,4.75,5.86,2.77,14.82,14.86,13.88,716,693.0,744,758,788,681,9.03,9.97,7.64
209,CO,18.05,31.99,14.71,23.65,39.27,19.71,1637,1386,1671,25.0,31.33,23.61,9.64,13.88,8.24,3.32,5.42,2.91,2.26,4.0,1.83,0.98,2.01,0.79,4.46,7.9,3.56,13.2,17.27,11.5,728,666.0,743,732,625,749,13.06,21.97,10.9
210,CT,18.75,36.81,12.68,24.74,43.56,18.2,1546,1438,1588,24.82,33.57,22.58,8.8,15.82,6.61,3.83,7.82,2.88,2.15,4.92,1.43,1.86,3.09,1.61,1.56,3.0,1.05,9.3,10.21,8.11,726,648.0,748,553,589,509,11.25,17.09,8.77
211,DC,22.83,33.09,5.75,26.54,37.64,7.68,1535,1572,955,24.81,31.41,16.46,11.83,15.01,4.81,4.19,6.31,1.91,5.8,7.73,1.81,1.21,1.84,0.88,2.8,3.98,0.54,5.0,6.51,0.0,710,666.0,764,586,622,449,7.76,10.34,2.6
212,DE,23.37,38.91,18.55,31.15,49.87,25.67,1847,1879,1694,25.97,34.35,23.64,10.32,17.12,8.24,3.99,5.16,3.51,3.35,5.09,2.73,1.71,3.53,1.25,6.23,10.52,4.7,9.21,7.95,9.13,702,643.0,725,785,957,737,17.98,29.93,14.99
213,FL,24.6,31.19,20.04,33.03,39.58,28.3,2225,2292,2174,28.08,32.49,25.22,12.34,13.82,11.0,5.12,7.1,4.01,3.39,4.67,2.62,1.7,2.18,1.46,5.06,5.98,4.3,7.12,7.44,6.73,690,664.0,717,1027,1058,1016,18.42,20.29,16.74
214,GA,29.41,38.82,23.66,36.96,47.46,30.84,1983,2071,1909,30.99,36.48,28.4,13.03,16.31,10.37,5.52,8.5,4.3,5.02,7.06,3.83,2.0,2.64,1.71,6.13,8.36,4.78,6.75,7.42,5.86,672,638.0,693,947,921,984,18.92,21.71,17.32
215,HI,15.58,15.58,21.37,18.93,18.91,25.64,1926,1878,0,24.18,24.14,22.6,10.32,10.01,0.0,3.46,3.47,5.0,3.36,3.51,0.0,1.2,1.2,0.0,4.2,4.32,2.56,11.43,11.61,0.0,727,726.0,699,448,455,0,7.23,7.16,7.69
216,IA,17.21,42.67,16.53,21.87,44.0,21.09,1677,826,1703,22.9,30.1,22.63,9.84,0.0,9.6,3.12,8.77,3.04,1.97,0.0,1.89,1.2,0.0,1.16,2.81,2.0,2.72,6.52,0.0,6.57,731,631.0,734,592,0,593,10.58,10.0,10.22
217,ID,17.52,32.31,17.07,21.64,44.62,21.11,2262,0,2312,24.76,0.0,24.67,9.56,0.0,9.3,3.22,0.0,3.15,2.37,0.0,2.33,0.95,0.0,0.94,6.42,9.23,6.32,10.79,0.0,10.63,720,652.0,722,1033,0,1039,12.73,27.69,12.4
218,IL,21.21,37.59,16.14,27.93,45.24,22.49,1572,1564,1613,24.89,32.95,22.91,10.04,17.03,7.84,3.75,7.05,2.92,3.26,6.35,2.47,1.81,2.91,1.65,4.36,7.5,3.36,9.33,10.89,8.49,714,647.0,737,637,638,643,14.58,20.19,12.82
219,IN,24.73,45.38,22.09,31.26,53.37,28.46,1856,1835,1861,26.78,36.21,25.96,13.12,21.79,11.78,4.16,8.01,3.84,3.32,7.47,2.91,1.86,2.82,1.79,5.74,9.46,5.28,6.88,7.97,6.46,690,612.0,703,813,716,836,19.54,31.64,18.09
220,KS,21.77,40.4,18.72,27.38,47.12,24.05,1751,1498,1789,24.87,31.96,23.84,11.92,24.04,10.64,3.49,7.47,3.06,2.32,3.63,2.1,1.49,1.08,1.46,4.19,5.97,3.81,7.8,13.17,7.2,711,641.0,723,829,867,821,17.98,30.53,15.84
221,KY,27.42,60.69,25.91,35.16,68.84,33.64,1315,1127,1322,26.67,39.41,26.17,13.8,21.81,13.47,4.59,14.1,4.36,3.96,8.19,3.75,1.93,7.14,1.86,5.28,8.16,5.05,5.94,4.0,6.09,678,552.0,684,509,586,500,18.86,37.6,18.15
222,LA,32.2,44.55,26.99,41.61,55.05,35.9,1934,1958,1954,30.1,34.81,28.61,13.71,17.1,11.6,5.25,7.04,4.69,5.9,9.08,4.69,2.44,3.67,2.09,6.75,9.68,5.49,17.26,20.75,14.52,668,618.0,683,875,850,905,23.68,28.44,21.55
223,MA,14.68,29.13,11.77,18.59,34.02,15.61,1584,1460,1653,22.18,31.2,20.99,7.38,13.17,6.23,3.37,6.42,2.85,2.14,4.88,1.76,1.3,2.28,1.22,1.61,4.04,1.19,9.95,6.62,12.25,737,667.0,749,390,421,375,4.72,7.02,4.3
224,MD,21.91,30.12,16.22,27.47,36.81,21.15,1610,1715,1508,27.29,33.27,24.23,10.47,13.08,7.99,4.35,6.22,3.22,3.51,4.78,2.59,1.81,2.8,1.33,3.75,5.27,2.75,7.3,8.05,5.93,708,668.0,737,532,572,498,12.47,15.76,10.47
225,ME,19.1,0.0,19.07,27.66,0.0,27.62,1691,0,1696,24.88,0.0,24.86,8.32,0.0,8.27,3.34,0.0,3.32,1.8,0.0,1.81,1.75,0.0,1.75,3.13,0.0,3.15,5.01,0.0,4.9,720,0.0,720,931,0,937,18.89,0.0,18.88
226,MI,21.56,48.09,17.73,28.67,58.45,24.4,1502,1738,1418,24.85,37.07,23.71,12.66,26.43,10.29,3.34,8.06,2.93,3.13,11.44,2.32,1.23,2.79,1.14,4.2,9.48,3.41,6.76,7.04,6.63,714,596.0,728,490,472,498,14.8,23.14,13.48
227,MN,11.99,28.42,10.98,14.39,33.8,13.21,1727,1657,1736,21.89,31.48,21.43,7.32,16.43,6.75,2.65,5.86,2.5,1.7,4.14,1.55,1.12,1.78,1.09,2.2,3.77,2.09,6.11,7.62,5.7,744,669.0,748,425,524,418,2.56,4.81,2.41
228,MO,24.66,52.05,21.41,32.16,61.69,28.58,2021,2280,1973,25.89,37.01,24.94,11.94,20.64,10.75,3.93,8.8,3.56,4.09,9.99,3.47,1.62,3.14,1.51,6.38,13.11,5.57,9.16,11.78,8.29,698,585.0,713,877,1101,839,19.48,36.55,17.46
229,MS,32.57,44.86,26.72,39.06,51.51,32.94,1845,1932,1837,32.2,36.94,30.78,15.09,19.96,12.17,6.73,9.87,5.76,6.51,9.43,5.09,3.54,5.06,2.91,7.65,9.36,6.77,13.99,15.37,12.63,661,612.0,675,900,1031,845,20.01,23.64,17.89
230,MT,17.34,48.93,16.13,22.08,53.0,20.93,1799,2092,1786,24.31,39.5,23.97,11.03,28.57,10.43,2.9,7.87,2.88,2.22,12.73,1.9,1.06,0.0,0.96,2.63,5.15,2.48,5.44,0.0,5.37,723,597.0,727,800,1069,788,13.26,27.04,12.65
231,NC,25.31,35.36,21.39,34.25,46.1,29.58,1568,1639,1511,27.65,33.13,25.78,11.4,14.68,9.42,4.75,7.35,4.02,3.67,5.79,2.87,1.81,2.83,1.59,5.41,7.37,4.59,5.64,6.31,5.31,690,649.0,713,690,657,714,20.53,25.3,18.45
232,ND,15.15,37.3,14.43,17.43,43.09,16.59,1914,1476,1956,25.13,35.48,24.92,7.95,0.0,8.03,2.93,5.88,2.88,1.98,7.62,1.8,1.13,0.0,1.15,4.57,5.47,4.47,12.33,0.0,12.17,730,635.0,733,672,0,653,7.28,12.86,7.08
233,NE,16.23,32.85,14.24,19.49,39.6,17.17,2095,1992,2228,23.97,31.28,23.34,6.84,15.92,6.38,3.37,6.77,3.2,2.05,4.74,1.79,1.16,1.67,1.08,3.56,5.78,3.31,8.42,7.23,8.84,727,653.0,736,723,597,741,7.96,15.1,6.96
234,NH,14.44,0.0,14.42,19.49,0.0,19.45,1728,0,1723,23.67,0.0,23.68,8.33,0.0,8.3,3.33,0.0,3.32,1.92,0.0,1.89,1.36,0.0,1.35,2.38,0.0,2.38,5.47,0.0,5.52,734,0.0,734,551,0,547,8.09,0.0,8.05
235,NJ,18.64,30.4,12.54,24.77,37.33,18.24,1372,1293,1483,24.1,29.56,21.84,9.07,13.72,6.7,3.71,5.9,2.83,2.4,4.51,1.58,1.86,2.7,1.63,2.38,3.36,1.82,9.44,9.82,9.12,721,669.0,745,539,565,503,13.44,20.07,10.09
236,NM,26.3,31.4,15.98,34.78,40.62,22.89,1724,1650,1838,27.74,30.16,22.81,14.69,16.77,11.44,4.32,4.78,3.32,5.23,6.55,2.63,2.15,2.73,0.79,8.5,10.5,4.15,8.72,8.27,10.46,675,661.0,737,747,739,774,18.32,20.58,12.8
237,NV,27.49,38.63,18.77,35.58,47.15,26.23,2215,2055,2267,28.92,33.57,25.48,15.15,20.6,11.81,5.3,7.22,3.77,3.71,6.1,1.93,1.14,1.88,0.76,9.34,12.45,6.27,18.45,19.66,16.81,677,642.0,719,971,913,1066,19.62,24.73,15.95
238,NY,17.92,25.3,13.92,22.24,29.72,18.32,1750,1729,1806,24.49,29.85,22.27,9.64,13.42,7.61,3.99,6.16,2.99,2.55,4.32,1.9,1.87,2.88,1.66,1.66,2.33,1.38,3.25,3.91,2.23,722,678.0,743,484,448,498,6.54,5.85,7.08
239,OH,24.23,48.46,20.79,31.77,57.0,28.18,1500,1489,1507,25.42,36.08,24.39,11.8,20.75,10.26,3.98,7.16,3.59,3.3,8.3,2.74,1.6,3.23,1.49,7.67,12.85,6.96,8.36,10.75,7.64,699,601.0,716,652,682,649,17.01,22.85,16.11
240,OK,29.95,48.55,26.83,37.19,56.51,34.0,2242,2111,2212,29.06,35.17,28.3,15.41,29.1,13.41,4.68,8.03,4.41,4.51,7.19,4.11,2.06,2.84,2.01,5.61,6.8,5.2,14.49,13.33,13.91,673,596.0,680,1179,1220,1141,22.74,34.73,20.96
